City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
6,Hasaki,JP,75.2,mist,35.73,140.83,Inubosaki Kanko Hotel
7,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
9,Faanui,PF,76.64,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
12,Isangel,VU,79.48,few clouds,-19.55,169.27,Volcano Sea View Tree House
13,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
17,Juegang,CN,75.65,clear sky,32.32,121.19,Rudong Y Hotel
22,Atuona,PF,78.44,clear sky,-9.8,-139.03,Villa Enata
27,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
28,Bethel,US,88.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
31,Zhenjiang,CN,82.99,clear sky,32.21,119.43,JI Hotel Zhenjiang Railway Station
35,Mentor,US,84.99,clear sky,41.67,-81.34,Holiday Inn Cleveland Northeast - Mentor
40,Kapaa,US,84.2,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
42,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
44,Sinnamary,GF,82.2,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
47,Puerto El Triunfo,SV,82.4,scattered clouds,13.28,-88.55,Hotel Jardin
50,Saint-Michel-Des-Saints,CA,75.99,overcast clouds,46.68,-73.92,Motel Du Mont trinity
52,Jamestown,US,82.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
53,Roura,GF,80.6,heavy intensity rain,4.73,-52.33,Amazonie Découverte SARL
54,Najran,SA,89.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
55,Cayenne,GF,80.6,heavy intensity rain,4.93,-52.33,Hôtel Le Dronmi
63,Mutis,CO,80.19,light rain,6.23,-77.4,Paraiso Escondido
72,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
73,San Policarpo,PH,79.21,clear sky,12.18,125.51,Zal-Ann Beach Resort
74,Turiacu,BR,76.98,broken clouds,-1.66,-45.37,Pousada Borges
78,Puerto Leguizamo,CO,82.8,broken clouds,-0.19,-74.78,la casona de juancho
79,Marzuq,YE,84.9,overcast clouds,14.4,46.47,
83,Mitu,CO,83.59,broken clouds,1.2,-70.17,
84,Ewa Beach,US,86.0,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
90,Dwarka,IN,82.62,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
91,Hirado,JP,75.99,clear sky,33.36,129.55,Samson Hotel
92,Melfi,IT,79.0,clear sky,41.0,15.65,HOTEL TERME DI RAPOLLA
94,Butaritari,KI,82.78,overcast clouds,3.07,172.79,Isles Sunset Lodge
95,Tevaitoa,PF,77.25,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
99,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
102,Keti Bandar,PK,83.48,overcast clouds,24.14,67.45,Haji laloo memon house
103,Barra Patuca,HN,85.86,clear sky,15.8,-84.28,
105,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
106,Abnub,EG,86.0,clear sky,27.27,31.15,مسجد الخطبة
111,Kavieng,PG,77.72,moderate rain,-2.57,150.8,Nusa Island Retreat
112,Lakatoro,VU,77.0,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
115,Auki,SB,79.34,broken clouds,-8.77,160.7,Auki Motel
116,Pathein,MM,76.73,light rain,16.78,94.73,Pathein Hotel
119,Umm Lajj,SA,83.07,clear sky,25.02,37.27,Moon light Furnished Units
121,Marawi,PH,75.0,broken clouds,8.0,124.29,Salihmaruhom
122,Great Falls,US,89.6,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
137,Weyburn,CA,80.01,clear sky,49.67,-103.85,Perfect Inns & Suites
138,Mlonggo,ID,76.89,clear sky,-6.53,110.7,Asia Metal Art
139,Avera,US,82.0,overcast clouds,33.19,-82.53,
143,Gushikawa,JP,82.4,heavy intensity rain,26.35,127.87,Kirari Guest House
152,Zuwarah,LY,78.12,clear sky,32.93,12.08,سالمة نورالدين المخزوم الزليطني
153,Albany,US,81.0,broken clouds,42.6,-73.97,
158,Vaitape,PF,77.47,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
160,Sao Filipe,CV,79.7,broken clouds,14.9,-24.5,Tortuga B&B
163,Awjilah,LY,79.07,clear sky,29.11,21.29,
166,Zvecka,RS,75.0,few clouds,44.64,20.16,Bed and breakfast ROYAL
172,Lorengau,PG,79.03,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
180,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
183,Kieta,PG,77.49,light rain,-6.22,155.63,
184,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
185,Dingle,PH,76.1,broken clouds,11.0,122.67,Camp Pasica
193,Ugoofaaru,MV,83.44,light rain,5.67,73.0,Ungoofaaru Inn
194,Palmer,US,90.0,broken clouds,42.16,-72.33,Wedgewood Motel
195,Bobo Dioulasso,BF,77.0,few clouds,11.18,-4.3,Rasma Bed and Breakfast
197,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
198,Asyut,EG,86.0,clear sky,27.18,31.18,Florence Hotel Assiut
200,Marsh Harbour,BS,85.39,light rain,26.54,-77.06,Abaco Beach Resort
