City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Walvis Bay,NA,-22.96,14.51,55.99,87,0,5.82,clear sky
1,Chokurdakh,RU,70.63,147.92,34.68,88,100,10.65,overcast clouds
2,Fairbanks,US,64.84,-147.72,64.4,68,90,1.5,overcast clouds
3,Luganville,VU,-15.53,167.17,77.0,100,75,7.16,broken clouds
4,Ostrovnoy,RU,68.05,39.51,58.14,90,32,16.96,scattered clouds
5,Upernavik,GL,72.79,-56.15,44.53,84,94,7.31,overcast clouds
6,Hasaki,JP,35.73,140.83,75.2,100,75,4.7,mist
7,Puerto Ayora,EC,-0.74,-90.35,77.0,53,63,17.22,broken clouds
8,Saldanha,ZA,-33.01,17.94,57.2,87,75,8.05,broken clouds
9,Faanui,PF,-16.48,-151.75,76.64,78,16,19.53,few clouds
10,Victoria,HK,22.29,114.16,84.0,79,1,8.99,clear sky
11,Severnoye,RU,56.35,78.36,49.41,94,100,5.28,overcast clouds
12,Isangel,VU,-19.55,169.27,79.48,81,16,4.92,few clouds
13,Avarua,CK,-21.21,-159.78,75.2,73,2,11.41,clear sky
14,Kirkwall,GB,58.98,-2.96,48.2,81,95,3.36,overcast clouds
15,Noyabrsk,RU,63.2,75.45,49.95,97,91,8.03,light rain
16,Port Alfred,ZA,-33.59,26.89,57.67,83,35,9.28,scattered clouds
17,Juegang,CN,32.32,121.19,75.65,91,0,7.2,clear sky
18,Rabo De Peixe,PT,37.8,-25.58,73.4,83,20,11.41,few clouds
19,Muros,ES,42.78,-9.06,69.01,72,0,1.99,clear sky
20,Mataura,NZ,-46.19,168.86,43.0,93,12,5.75,few clouds
21,Broken Hill,AU,-31.95,141.43,37.4,74,10,2.24,clear sky
22,Atuona,PF,-9.8,-139.03,78.44,77,1,15.75,clear sky
23,Talnakh,RU,69.49,88.4,57.2,82,100,13.42,overcast clouds
24,Rikitea,PF,-23.12,-134.97,70.21,84,69,21.14,broken clouds
25,Inhambane,MZ,-23.86,35.38,66.2,77,0,4.7,clear sky
26,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,2.24,overcast clouds
27,San Cristobal,VE,7.77,-72.22,87.8,45,40,19.46,scattered clouds
28,Bethel,US,41.37,-73.41,88.0,54,1,10.29,clear sky
29,Barrow,US,71.29,-156.79,41.0,93,90,5.82,mist
30,Manlleu,ES,42.0,2.28,71.01,88,94,3.0,light rain
31,Zhenjiang,CN,32.21,119.43,82.99,76,0,1.01,clear sky
32,Tuktoyaktuk,CA,69.45,-133.04,64.4,63,40,13.87,scattered clouds
33,Hermanus,ZA,-34.42,19.23,55.99,95,100,6.26,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,35.6,74,40,6.93,scattered clouds
35,Mentor,US,41.67,-81.34,84.99,54,1,5.82,clear sky
36,Khatanga,RU,71.97,102.5,54.23,69,96,9.1,overcast clouds
37,Stromness,GB,58.97,-3.3,48.2,81,92,3.36,overcast clouds
38,Port Macquarie,AU,-31.43,152.92,42.01,71,0,9.64,clear sky
39,Aklavik,CA,68.22,-135.01,62.6,67,75,11.41,broken clouds
40,Kapaa,US,22.08,-159.32,84.2,70,40,10.29,scattered clouds
41,Chuy,UY,-33.7,-53.46,55.47,81,0,10.63,clear sky
42,Hilo,US,19.73,-155.09,82.4,69,90,5.82,overcast clouds
43,Semey,KZ,50.41,80.23,60.73,51,99,4.7,overcast clouds
44,Sinnamary,GF,5.38,-52.95,82.2,76,28,10.4,scattered clouds
45,La Libertad,EC,-2.23,-80.9,71.6,78,90,6.93,overcast clouds
46,Thompson,CA,55.74,-97.86,53.6,100,90,5.82,light rain
47,Puerto El Triunfo,SV,13.28,-88.55,82.4,88,40,4.7,scattered clouds
48,Baykit,RU,61.67,96.37,50.92,87,0,2.13,clear sky
49,Abha,SA,18.22,42.51,71.6,83,75,2.75,broken clouds
50,Saint-Michel-Des-Saints,CA,46.68,-73.92,75.99,7,97,2.93,overcast clouds
51,Yellowknife,CA,62.46,-114.35,60.8,51,20,6.93,few clouds
52,Jamestown,US,42.1,-79.24,82.0,61,1,4.7,clear sky
53,Roura,GF,4.73,-52.33,80.6,78,17,6.93,heavy intensity rain
54,Najran,SA,17.49,44.13,89.6,18,100,4.7,overcast clouds
55,Cayenne,GF,4.93,-52.33,80.6,78,13,6.93,heavy intensity rain
56,Cape Town,ZA,-33.93,18.42,60.01,87,40,10.29,scattered clouds
57,Codrington,AU,-38.27,141.97,41.04,79,73,6.73,broken clouds
58,Lavrentiya,RU,65.58,-171.0,47.21,93,100,4.99,overcast clouds
59,Eureka,US,40.8,-124.16,71.01,79,8,4.0,clear sky
