City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Henties Bay,NA,2020-08-21 23:46:47,-22.12,14.28,63.0,21,59,7.23
1,Ushuaia,AR,2020-08-21 23:46:18,-54.8,-68.3,41.0,75,75,8.05
2,Rikitea,PF,2020-08-21 23:46:19,-23.12,-134.97,66.04,68,33,21.52
3,Port Alfred,ZA,2020-08-21 23:46:24,-33.59,26.89,58.05,73,42,10.07
4,Markova,UA,2020-08-21 23:47:26,48.68,24.41,60.94,82,0,3.71
5,Port Elizabeth,ZA,2020-08-21 23:44:34,-33.92,25.57,48.2,93,63,3.36
6,Barrow,US,2020-08-21 23:46:36,71.29,-156.79,55.4,76,1,8.05
7,Galashki,RU,2020-08-21 23:47:27,43.11,44.99,60.8,93,94,4.47
8,Punta Arenas,CL,2020-08-21 23:41:54,-53.15,-70.92,41.0,80,75,19.46
9,Avarua,CK,2020-08-21 23:46:57,-21.21,-159.78,77.0,78,12,19.46
10,Cayenne,GF,2020-08-21 23:46:43,4.93,-52.33,80.6,83,2,4.7
11,Yellowknife,CA,2020-08-21 23:47:09,62.46,-114.35,59.0,51,75,11.41
12,Flin Flon,CA,2020-08-21 23:47:28,54.77,-101.86,68.0,72,75,9.17
13,Mendoza,AR,2020-08-21 23:47:00,-32.89,-68.83,55.4,19,0,4.7
14,Cape Town,ZA,2020-08-21 23:43:42,-33.93,18.42,48.0,93,9,3.36
15,Kigoma,TZ,2020-08-21 23:47:29,-4.88,29.63,74.28,65,41,5.01
16,Sembakung,ID,2020-08-21 23:46:44,3.82,117.25,80.55,80,42,2.66
17,Samarai,PG,2020-08-21 23:47:29,-10.62,150.67,77.72,78,100,8.97
18,Saint-Joseph,RE,2020-08-21 23:46:26,-21.37,55.62,66.2,55,22,8.05
19,Terney,RU,2020-08-21 23:47:30,45.05,136.61,69.06,60,0,3.53
20,Atuona,PF,2020-08-21 23:46:26,-9.8,-139.03,78.93,74,14,10.54
21,Hasaki,JP,2020-08-21 23:47:16,35.73,140.83,82.0,94,75,8.05
22,Westport,US,2020-08-21 23:44:04,41.14,-73.36,78.8,69,1,13.87
23,Kamaishi,JP,2020-08-21 23:47:30,39.27,141.88,75.2,94,75,3.36
24,Safaga,EG,2020-08-21 23:44:22,26.73,33.94,87.8,38,0,13.87
25,Saint-Philippe,RE,2020-08-21 23:46:29,-21.36,55.77,66.2,55,45,8.05
26,Port Lincoln,AU,2020-08-21 23:47:31,-34.73,135.87,51.91,61,18,21.88
27,Avera,US,2020-08-21 23:47:31,33.19,-82.53,80.6,83,1,4.7
28,Shirokiy,RU,2020-08-21 23:47:31,49.76,129.52,64.15,73,38,10.2
29,Tuktoyaktuk,CA,2020-08-21 23:47:32,69.45,-133.04,62.6,72,20,6.93
30,Pochutla,MX,2020-08-21 23:47:32,15.74,-96.47,82.0,80,97,4.47
31,Isangel,VU,2020-08-21 23:46:33,-19.55,169.27,79.5,71,29,7.99
32,Mataura,NZ,2020-08-21 23:46:26,-46.19,168.86,53.01,83,45,8.01
33,Kibala,TD,2020-08-21 23:47:33,9.11,18.35,73.49,96,72,1.48
34,Hithadhoo,MV,2020-08-21 23:46:50,-0.6,73.08,83.21,73,56,8.77
35,Padang,ID,2020-08-21 23:47:33,-0.95,100.35,78.06,78,93,4.32
36,Lavrentiya,RU,2020-08-21 23:47:12,65.58,-171.0,48.69,91,100,7.78
37,Ayagoz,KZ,2020-08-21 23:47:34,47.97,80.44,57.4,53,0,10.09
38,Vaini,TO,2020-08-21 23:46:47,-21.2,-175.2,80.6,83,40,9.17
39,Khatanga,RU,2020-08-21 23:46:23,71.97,102.5,48.87,57,0,15.03
40,Pevek,RU,2020-08-21 23:46:54,69.7,170.31,39.36,92,100,9.04
41,Buala,SB,2020-08-21 23:46:53,-8.14,159.59,85.32,68,94,5.97
42,Nikolskoye,RU,2020-08-21 23:46:53,59.7,30.79,60.8,63,15,4.47
43,Aklavik,CA,2020-08-21 23:46:45,68.22,-135.01,60.8,72,20,5.82
